alpha_rad,mach,CN,CA,CM,CMQ,CNR,CLP,CNB,CYB
-2.617994,3.0000,-37.053000,15.765000,-0.933200,-0.088170,-7.490000,-4.596000,0.000000,-6.210862
-2.617994,3.5000,-33.059000,13.986000,-0.704600,-0.077670,-7.490000,-4.596000,0.000000,-0.671507
-2.617994,4.0000,-30.104000,12.571000,-0.524900,-0.069140,-7.490000,-4.596000,0.000000,3.544317
-2.617994,4.5000,-27.762000,11.450000,-0.374600,-0.062240,-7.490000,-4.596000,0.000000,5.855629
-2.617994,5.0000,-25.905000,10.558000,-0.246300,-0.056660,-7.490000,-4.596000,0.000000,8.571449
-2.530727,0.0000,-41.910000,24.862000,-34.957900,-0.083590,-6.724000,-6.034000,-53.359559,-31.827806
-2.530727,0.2000,-41.757000,25.004000,-34.653200,-0.083590,-6.743000,-6.034000,-53.032974,-31.822076
-2.530727,0.4000,-41.840000,24.964000,-35.867400,-0.087840,-6.862000,-6.034000,-55.238861,-31.650189
-2.530727,0.6000,-41.856000,24.530000,-39.160100,-0.094490,-7.129000,-5.748000,-57.295780,-29.816724
-2.530727,0.8000,-41.689000,24.249000,-39.314800,-0.108000,-7.107000,-6.007000,-40.708651,-19.669641
-2.530727,0.9500,-40.535000,23.961000,-33.723100,-0.130400,-6.509000,-5.690000,-20.282706,-8.582908
-2.530727,1.0500,-57.191000,31.814000,-1.190800,-0.211100,-6.509000,-5.690000,0.000000,-6.359832
-2.530727,1.2000,-53.224000,28.064000,-1.507800,-0.167000,-6.509000,-5.690000,0.000000,-4.946918
-2.530727,1.4000,-51.935000,26.083000,-1.920700,-0.133500,-6.509000,-5.690000,0.000000,-12.037843
-2.530727,1.8000,-50.033000,24.505000,-1.610400,-0.120000,-6.509000,-5.690000,0.000000,-15.446942
-2.530727,2.2000,-45.403000,22.071000,-1.284900,-0.109600,-6.509000,-5.690000,0.000000,-14.106221
-2.530727,2.6000,-40.279000,19.336000,-0.969600,-0.099080,-6.509000,-5.690000,0.000000,-8.783443
-2.530727,3.0000,-36.222000,17.260000,-0.720000,-0.088170,-6.509000,-5.690000,0.000000,-2.665400
-2.530727,3.5000,-32.902000,15.396000,-0.493900,-0.077670,-6.509000,-5.690000,0.000000,2.015093
-2.530727,4.0000,-30.249000,13.899000,-0.302600,-0.069140,-6.509000,-5.690000,0.000000,4.767009
-2.530727,4.5000,-28.182000,12.680000,-0.141900,-0.062240,-6.509000,-5.690000,0.000000,7.832333
-2.530727,5.0000,-26.740000,11.725000,0.018900,-0.056660,-6.509000,-5.690000,0.000000,10.250215
-2.443461,0.0000,-37.125000,25.506000,-42.408700,-0.083590,-5.838000,-7.258000,-94.595332,-37.494358
-2.443461,0.2000,-36.996000,25.664000,-42.147200,-0.083590,-5.854000,-7.258000,-91.444064,-36.652110
