alpha_rad,mach,CN,CA,CM,CMQ,CNR,CLP,CNB,CYB
-2.530727,0.7000,-22.932000,10.823000,-28.330200,-0.080790,-3.349000,-3.146000,-41.442037,-11.470615
-2.530727,0.9000,-23.083000,11.527000,-24.875900,-0.103600,-3.231000,-3.035000,-24.511134,-5.656239
-2.530727,1.1000,-30.795000,15.850000,-0.898100,-0.138300,-3.231000,-3.035000,0.000000,-0.839383
-2.530727,1.3000,-29.395000,13.812000,-1.169100,-0.110300,-3.231000,-3.035000,0.000000,-3.251535
-2.530727,1.6000,-28.981000,13.264000,-0.777300,-0.094720,-3.231000,-3.035000,0.000000,-5.594360
-2.530727,2.0000,-25.802000,11.403000,-0.504400,-0.080170,-3.231000,-3.035000,0.000000,-5.357728
-2.530727,2.5000,-21.678000,9.349000,-0.257000,-0.066040,-3.231000,-3.035000,0.000000,-1.575634
-2.530727,3.0000,-19.009000,8.108000,-0.088700,-0.056810,-3.231000,-3.035000,0.000000,2.093015
-2.443461,0.3000,-19.865000,10.623000,-32.789700,-0.067420,-2.649000,-3.485000,-62.395104,-11.596666
-2.443461,0.5000,-20.341000,11.145000,-32.575000,-0.071760,-2.714000,-3.570000,-52.184996,-9.453804
-2.443461,0.7000,-21.401000,12.257000,-32.008700,-0.080790,-2.824000,-3.715000,-41.184206,-6.388479
-2.443461,0.9000,-21.806000,13.287000,-27.032900,-0.103600,-2.725000,-3.584000,-24.654374,-1.868415
-2.443461,1.1000,-30.864000,16.756000,-0.549000,-0.138300,-2.725000,-3.584000,0.000000,0.124389
-2.443461,1.3000,-29.281000,14.381000,-0.860300,-0.110300,-2.725000,-3.584000,0.000000,-4.697681
-2.443461,1.6000,-28.629000,13.876000,-0.512100,-0.094720,-2.725000,-3.584000,0.000000,-6.606203
-2.443461,2.0000,-25.360000,12.099000,-0.263400,-0.080170,-2.725000,-3.584000,0.000000,-5.200738
-2.443461,2.5000,-21.585000,10.056000,-0.031500,-0.066040,-2.725000,-3.584000,0.000000,-0.972882
-2.443461,3.0000,-19.391000,8.784000,0.136700,-0.056810,-2.725000,-3.584000,0.000000,2.696339
-2.356194,0.3000,-18.330000,11.874000,-37.978100,-0.067420,-2.162000,-4.009000,-56.510827,-4.186603
-2.356194,0.5000,-18.803000,12.533000,-36.965000,-0.071760,-2.215000,-4.108000,-48.420663,-4.014715
-2.356194,0.7000,-19.884000,13.883000,-35.518100,-0.080790,-2.305000,-4.275000,-39.241879,-2.683734
-2.356194,0.9000,-20.487000,15.143000,-29.178900,-0.103600,-2.224000,-4.124000,-24.528323,0.699009
-2.356194,1.1000,-31.110000,17.452000,-0.193400,-0.138300,-2.224000,-4.124000,-5.613840,18.747179
-2.356194,1.3000,-29.243000,14.854000,-0.523300,-0.110300,-2.224000,-4.124000,-5.323924,18.002334
-2.356194,1.6000,-28.282000,14.421000,-0.230200,-0.094720,-2.224000,-4.124000,-4.128161,15.320891
-2.356194,2.0000,-25.133000,12.724000,-0.012600,-0.080170,-2.224000,-4.124000,-3.075637,12.943117
-2.356194,2.5000,-21.762000,10.695000,0.207500,-0.066040,-2.224000,-4.124000,-2.099890,10.742959
-2.356194,3.0000,-19.886000,9.378000,0.376000,-0.056810,-2.224000,-4.124000,-1.536100,9.430885
-2.268928,0.3000,-16.751000,13.255000,-42.330000,-0.067420,-1.696000,-4.510000,-37.459981,-3.747717
-2.268928,0.5000,-17.237000,14.019000,-40.784800,-0.071760,-1.737000,-4.621000,-30.985558,-2.380640
-2.268928,0.7000,-18.301000,15.542000,-38.706600,-0.080790,-1.808000,-4.808000,-28.315574,-1.615168
-2.268928,0.9000,-19.002000,16.921000,-31.365900,-0.103600,-1.744000,-4.639000,-17.079872,-1.220973
-2.268928,1.1000,-31.307000,17.919000,0.136700,-0.138300,-1.744000,-4.639000,-5.613840,-9.448074
-2.268928,1.3000,-29.397000,15.272000,-0.178400,-0.110300,-1.744000,-4.639000,-5.323924,-8.393832
-2.268928,1.6000,-27.886000,14.925000,0.047400,-0.094720,-1.744000,-4.639000,-4.128161,-9.705905
-2.268928,2.0000,-24.978000,13.310000,0.239800,-0.080170,-1.744000,-4.639000,-3.075637,-8.491235
-2.268928,2.5000,-22.137000,11.227000,0.451600,-0.066040,-1.744000,-4.639000,-2.099890,-2.346262
-2.268928,3.0000,-20.462000,9.873000,0.630200,-0.056810,-1.744000,-4.639000,-1.536100,-1.356764
-2.181662,0.3000,-15.069000,14.521000,-45.684800,-0.067420,-1.263000,-4.972000,-39.430955,-5.042602
-2.181662,0.5000,-15.555000,15.380000,-43.821600,-0.071760,-1.294000,-5.094000,-38.611626,-4.442142
-2.181662,0.7000,-16.551000,16.995000,-41.732600,-0.080790,-1.347000,-5.301000,-41.040967,-4.222699
-2.181662,0.9000,-17.214000,18.325000,-34.147600,-0.103600,-1.299000,-5.114000,-46.673142,-5.481487
-2.181662,1.1000,-31.303000,18.127000,0.416400,-0.138300,-1.299000,-5.114000,-5.613840,-14.541669
-2.181662,1.3000,-29.431000,15.651000,0.146400,-0.110300,-1.299000,-5.114000,-5.323924,-12.089409
-2.181662,1.6000,-27.620000,15.296000,0.303600,-0.094720,-1.299000,-5.114000,-4.128161,-12.891550
-2.181662,2.0000,-24.770000,13.663000,0.458000,-0.080170,-1.299000,-5.114000,-3.075637,-11.040897
-2.181662,2.5000,-22.508000,11.574000,0.675500,-0.066040,-1.299000,-5.114000,-2.099890,-7.717742
-2.181662,3.0000,-20.989000,10.168000,0.855500,-0.056810,-1.299000,-5.114000,-1.536100,-6.611933
-2.094395,0.3000,-13.282000,15.474000,-49.211800,-0.067420,-0.878300,-5.382000,-61.994033,-7.053110
-2.094395,0.5000,-13.730000,16.372000,-47.523600,-0.071760,-0.899800,-5.514000,-67.036062,-7.144784
-2.094395,0.7000,-14.619000,18.040000,-45.869100,-0.080790,-0.936400,-5.739000,-79.641134,-7.545854
-2.094395,0.9000,-15.169000,19.209000,-39.511600,-0.103600,-0.903300,-5.536000,-371.047468,-10.508046
-2.094395,1.1000,-31.265000,18.105000,0.648400,-0.138300,-0.903300,-5.536000,-5.613840,-20.242599
-2.094395,1.3000,-29.393000,15.923000,0.431500,-0.110300,-0.903300,-5.536000,-5.323924,-16.266272
-2.094395,1.6000,-27.376000,15.496000,0.526300,-0.094720,-0.903300,-5.536000,-4.128161,-16.655883
-2.094395,2.0000,-24.733000,13.809000,0.647900,-0.080170,-0.903300,-5.536000,-3.075637,-14.472914
-2.094395,2.5000,-22.773000,11.658000,0.842100,-0.066040,-0.903300,-5.536000,-2.099890,-12.794148
-2.094395,3.0000,-21.445000,10.207000,1.001200,-0.056810,-0.903300,-5.536000,-1.536100,-11.447697
-2.007129,0.3000,-11.422000,15.977000,-56.500300,-0.067420,-0.552400,-5.729000,-322.002281,-10.393454
-2.007129,0.5000,-11.799000,16.868000,-55.525700,-0.071760,-0.566000,-5.869000,-530.272439,-11.029438
-2.007129,0.7000,-12.544000,18.534000,-55.630800,-0.080790,-0.589000,-6.108000,920.743177,-12.267026
-2.007129,0.9000,-12.916000,19.410000,-98.910100,-0.103600,-0.568200,-5.892000,25.330464,-16.249083
-2.007129,1.1000,-31.127000,17.782000,0.811800,-0.138300,-0.568200,-5.892000,-5.613840,-26.178442
-2.007129,1.3000,-29.147000,16.048000,0.662000,-0.110300,-0.568200,-5.892000,-5.323924,-21.228086
-2.007129,1.6000,-27.059000,15.479000,0.702100,-0.094720,-0.568200,-5.892000,-4.128161,-21.193709
-2.007129,2.0000,-24.705000,13.718000,0.791800,-0.080170,-0.568200,-5.892000,-3.075637,-19.245652
-2.007129,2.5000,-22.933000,11.547000,0.956200,-0.066040,-0.568200,-5.892000,-2.099890,-17.612723
-2.007129,3.0000,-21.830000,10.090000,1.094600,-0.056810,-0.568200,-5.892000,-1.536100,-16.346486
-1.919862,0.3000,-9.530000,15.929000,-0.000000,-0.067420,-0.295600,-6.001000,67.952795,-14.639072
-1.919862,0.5000,-9.814000,16.773000,-0.000000,-0.071760,-0.302800,-6.148000,31.976775,-15.819365
-1.919862,0.7000,-10.377000,18.349000,-0.000000,-0.080790,-0.315100,-6.399000,3.065324,-18.099737
-1.919862,0.9000,-10.584000,18.904000,-35.090800,-0.103600,-0.304000,-6.172000,252.044134,-22.110441
-1.919862,1.1000,-30.728000,17.275000,0.920000,-0.138300,-0.304000,-6.172000,-5.613840,-31.174634
-1.919862,1.3000,-28.744000,15.909000,0.819600,-0.110300,-0.304000,-6.172000,-5.323924,-26.539405
-1.919862,1.6000,-26.635000,15.217000,0.820300,-0.094720,-0.304000,-6.172000,-4.128161,-26.109687
-1.919862,2.0000,-24.554000,13.374000,0.873600,-0.080170,-0.304000,-6.172000,-3.075637,-23.961095
-1.919862,2.5000,-22.952000,11.237000,1.006600,-0.066040,-0.304000,-6.172000,-2.099890,-22.717777
