time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,f16_aero_fx,f16_aero_fy,f16_aero_fz,f16_aero_mx,f16_aero_my,f16_aero_mz,f16_engine_fx,f16_engine_fy,f16_engine_fz,f16_engine_mx,f16_engine_my,f16_engine_mz
0.72,107.74765,0,-2999.4279,149.3431,0,2.3851397,0,0.022081591,0,0,0.096729381,0,-0.093254043,0,0,0.021006421,-0.080999254,0,0,0.043253187,0,0,0.038051106,0,0.45456054,149.36215,2999.4279,9295.48,126.51947,nan,nan,0,3000,150,10142.898,-5883.4185,0,-65089.686,0,37397.873,0,126.51947,0,0,0,0,0
0.75,112.22762,0,-2999.3552,149.3201,0,2.4606718,0,0.02518305,0,0,0.11062806,0,-0.085107554,0,0,0.022357727,-0.071440205,0,0,0.044948583,0,0,0.041660731,0,0.45449387,149.34037,2999.3552,9295.48,154.33702,nan,nan,0,3000,150,10140.016,-5424.4017,0,-71155.519,0,32325.819,0,154.33702,0,0,0,0,0
0.78,116.70691,0,-2999.2806,149.29747,0,2.5163952,0,0.028672821,0,0,0.12246043,0,-0.07618234,0,0,0.023729333,-0.061413082,0,0,0.046652566,0,0,0.045526134,0,0.45442741,149.31867,2999.2806,9295.48,183.5582,nan,nan,0,3000,150,10137.147,-4934.5113,0,-77383.683,0,26972.964,0,183.5582,0,0,0,0,0
0.81,121.18552,0,-2999.2045,149.27506,0,2.5519421,0,0.032487529,0,0,0.13213502,0,-0.066668759,0,0,0.025120877,-0.051096698,0,0,0.048375571,0,0,0.049581434,0,0.45436064,149.29687,2999.2045,9295.48,214.1766,nan,nan,0,3000,150,10134.267,-4423.7759,0,-83671.951,0,21445.403,0,214.1766,0,0,0,0,0
0.84,125.66346,0,-2999.1277,149.2527,0,2.5672673,0,0.036561635,0,0,0.13960117,0,-0.056749627,0,0,0.026532662,-0.040661333,0,0,0.050129073,0,0,0.053760749,0,0.45429299,149.27478,2999.1277,9295.48,246.18624,nan,nan,0,3000,150,10131.348,-3902.0239,0,-89922.483,0,15842.471,0,246.18624,0,0,0,0,0
0.87,130.14072,0,-2999.0507,149.2302,0,2.562633,0,0.040828617,0,0,0.14484633,0,-0.04659955,0,0,0.027965659,-0.030267895,0,0,0.051924935,0,0,0.057999278,0,0.45422387,149.2522,2999.0507,9295.48,279.58249,nan,nan,0,3000,150,10128.364,-3378.7127,0,-96042.962,0,10256.577,0,279.58249,0,0,0,0,0
0.9,134.61731,0,-2998.9741,149.20737,0,2.53859,0,0.045222081,0,0,0.14789325,0,-0.036384146,0,0,0.029421469,-0.020067017,0,0,0.05377476,0,0,0.062234278,0,0.45415271,149.22896,2998.9741,9295.48,314.36295,nan,nan,0,3000,150,10125.289,-2862.7692,0,-101947.64,0,4772.9868,0,314.36295,0,0,0,0,0
0.93,139.09321,0,-2998.8985,149.184,0,2.4959554,0,0.049676774,0,0,0.14879717,0,-0.026259207,0,0,0.030902253,-0.010198097,0,0,0.055689264,0,0,0.066405932,0,0.45407899,149.20487,2998.8985,9295.48,350.52821,nan,nan,0,3000,150,10122.1,-2362.4472,0,-107558.27,0,-530.42487,0,350.52821,0,0,0,0,0
0.96,143.56839,0,-2998.8244,149.15991,0,2.435787,0,0.054129523,0,0,0.14764275,0,-0.016369791,0,0,0.032410626,-0.00078834274,0,0,0.057677739,0,0,0.07045811,0,0.45400227,149.1798,2998.8244,9295.48,388.08244,nan,nan,0,3000,150,10118.775,-1885.2067,0,-112804.92,0,-5583.435,0,388.08244,0,0,0,0,0
0.99,148.04284,0,-2998.7524,149.13496,0,2.3593555,0,0.058520071,0,0,0.14454105,0,-0.0068493124,0,0,0.033949538,0.0080481442,0,0,0.059747588,0,0,0.074339022,0,0.45392222,149.15363,2998.7524,9295.48,427.03383,nan,nan,0,3000,150,10115.3,-1437.6161,0,-117626.6,0,-10323.738,0,427.03383,0,0,0,0,0
