alpha_rad,mach,CN,CA,CM,CMQ,CNR,CLP,CNB,CYB
-2.094395,1.6000,-32.742000,18.444000,0.000000,-0.102200,-1.334000,-8.028000,-4.245617,-20.385838
-2.094395,2.0000,-29.587000,16.423000,0.185900,-0.088070,-1.334000,-8.028000,-3.134652,-17.635641
-2.094395,2.5000,-27.234000,13.831000,0.428000,-0.073910,-1.334000,-8.028000,-2.070097,-15.532886
-2.094395,3.0000,-25.641000,12.093000,0.619300,-0.064290,-1.334000,-8.028000,-1.468491,-13.882767
-2.007129,0.3000,-13.401000,19.272000,-64.360800,-0.071390,-0.822800,-8.351000,-425.421163,-13.286891
-2.007129,0.5000,-13.851000,20.336000,-63.290600,-0.075760,-0.842800,-8.554000,-873.187680,-14.054655
-2.007129,0.7000,-14.733000,22.310000,-63.813300,-0.084800,-0.876600,-8.898000,636.556110,-15.452672
-2.007129,0.9000,-15.143000,23.281000,-0.000000,-0.107400,-0.842400,-8.550000,26.453461,-20.070712
-2.007129,1.1000,-37.316000,21.349000,0.145700,-0.146700,-0.842400,-8.550000,-5.907195,-31.770510
-2.007129,1.3000,-34.861000,19.093000,0.040000,-0.117100,-0.842400,-8.550000,-5.475185,-26.081039
-2.007129,1.6000,-32.357000,18.386000,0.142500,-0.102200,-0.842400,-8.550000,-4.245617,-25.788830
-2.007129,2.0000,-29.551000,16.291000,0.291900,-0.088070,-0.842400,-8.550000,-3.134652,-23.285005
-2.007129,2.5000,-27.425000,13.681000,0.504200,-0.073910,-0.842400,-8.550000,-2.070097,-21.256734
-2.007129,3.0000,-26.103000,11.941000,0.671600,-0.064290,-0.842400,-8.550000,-1.468491,-19.675371
-1.919862,0.3000,-11.107000,19.121000,-0.000000,-0.071390,-0.443300,-8.754000,77.521190,-18.231517
-1.919862,0.5000,-11.448000,20.129000,-0.000000,-0.075760,-0.454000,-8.966000,35.981750,-19.646723
-1.919862,0.7000,-12.114000,22.002000,-0.000000,-0.084800,-0.472300,-9.326000,6.056164,-22.310977
-1.919862,0.9000,-12.336000,22.597000,-40.551200,-0.107400,-0.453800,-8.962000,1177.428269,-26.974853
-1.919862,1.1000,-36.814000,20.716000,0.213000,-0.146700,-0.453800,-8.962000,-5.907195,-37.677705
-1.919862,1.3000,-34.369000,18.875000,0.165100,-0.117100,-0.453800,-8.962000,-5.475185,-32.274713
-1.919862,1.6000,-31.848000,18.038000,0.227500,-0.102200,-0.453800,-8.962000,-4.245617,-31.564245
-1.919862,2.0000,-29.371000,15.864000,0.335400,-0.088070,-0.453800,-8.962000,-3.134652,-28.859884
-1.919862,2.5000,-27.449000,13.298000,0.515300,-0.073910,-0.453800,-8.962000,-2.070097,-27.267061
