time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_table_aero_fx,rocket_table_aero_fy,rocket_table_aero_fz,rocket_table_aero_mx,rocket_table_aero_my,rocket_table_aero_mz,tabulated_thrust_fx,tabulated_thrust_fy,tabulated_thrust_fz,tabulated_thrust_mx,tabulated_thrust_my,tabulated_thrust_mz
0.8,4.2324778,-0.43189546,-59.648158,4.312507,-2.3158414,-102.8763,-1.632841,1.5308722,-1.6345606,2.8502925e-17,-0.17072589,0.064278962,-0.0045470964,-5.3972384e-19,0.0033291085,0.79955524,-0.0042403378,-5.700585e-19,0.0032139481,1,0,0,-0.0041299368,-0.0020909524,0.30279238,102.96908,59.648158,81.0086,7587.125,1.4835299,0,0,nan,nan,6457.0064,-286.68354,49.783285,91.4308,-5.8045726e-18,194.02462,-108.07659,7587.125,0,0,0,0,0
0.84,4.4061091,-0.52661798,-63.824208,4.3852266,-2.4206751,-106.08648,-1.4665917,1.5330931,-1.4681868,2.6767541e-17,-0.14505309,0.051317501,-0.0036477338,-5.5244285e-19,0.0029550503,0.81499585,-0.0027402056,-5.3535083e-19,0.002565875,1,0,0,-0.009644086,-0.0041574704,0.31225015,106.18033,63.824208,80.80748,7581.5667,1.4835299,0,0,nan,nan,6863.2734,-303.04086,91.120988,196.19109,-5.5529069e-18,395.66242,-188.4962,7581.5667,0,0,0,0,0
0.88,4.5839912,-0.62502683,-68.128634,4.525527,-2.5003342,-109.29486,-1.3250108,1.5338956,-1.3265078,2.7424764e-17,-0.10365017,0.032303165,-0.0019657272,-5.5583451e-19,0.0022249167,0.82924704,-0.00056582608,-5.4849528e-19,0.0016151582,1,0,0,-0.013251841,-0.0053690903,0.32170024,109.38851,68.128634,80.60636,7576.0083,1.4835299,0,0,nan,nan,7281.2646,-319.57503,119.22511,274.25457,-5.8327558e-18,542.31018,-241.56339,7576.0083,0,0,0,0,0
0.92,4.7684241,-0.72630492,-72.561348,4.7104165,-2.5654802,-112.50064,-1.2353434,1.5338185,-1.2367793,2.7617195e-17,-0.052612632,0.01012025,0.00029918693,-5.5041823e-19,0.0012444383,0.84240044,0.002020184,-5.5234389e-19,0.00050601252,1,0,0,-0.014683076,-0.0056484297,0.3311427,112.59361,72.561348,80.40524,7570.45,1.4835299,0,0,nan,nan,7710.913,-336.77264,128.03683,309.89019,-6.0335537e-18,605.02435,-256.18506,7570.45,0,0,0,0,0
0.96,4.960637,-0.83012042,-77.122237,4.9100108,-2.6294456,-115.70345,-1.2078484,1.5334289,-1.2092654,2.744305e-17,0.00012698661,-0.011638657,0.0028553934,-5.4994573e-19,0.00016691838,0.8545406,0.0046660881,-5.48861e-19,-0.00058193283,1,0,0,-0.013983254,-0.0050595888,0.3405788,115.79606,77.122237,80.20412,7564.8917,1.4835299,0,0,nan,nan,8152.2111,-354.6439,115.51307,297.40451,-6.1709546e-18,572.66456,-228.769,7564.8917,0,0,0,0,0
1,5.1606188,-0.93668279,-81.811181,5.0929888,-2.7054586,-118.90323,-1.238202,1.5329685,-1.2396405,2.7400718e-17,0.046245455,-0.029420959,0.0053414458,-5.4897747e-19,-0.00083321328,0.86574559,0.006974929,-5.4801435e-19,-0.0014710479,1,0,0,-0.011508852,-0.0037981917,0.35000998,118.99634,81.811181,80.003,7559.3333,1.4835299,0,0,nan,nan,8605.1648,-373.14447,84.54518,239.17459,-6.3518209e-18,450.1718,-164.91716,7559.3333,0,0,0,0,0
1.04,5.3671632,-1.046683,-86.628057,5.2320503,-2.8037933,-122.09984,-1.3121596,1.5323504,-1.3136519,2.764902e-17,0.078541196,-0.040494713,0.0073780892,-5.4779097e-19,-0.0015966169,0.87608744,0.0085796053,-5.529804e-19,-0.0020247357,1,0,0,-0.007872682,-0.0021531343,0.35943652,122.19452,86.628057,79.80268,7553.775,1.4835299,0,0,nan,nan,9069.728,-392.1311,42.105459,147.13774,-6.6190566e-18,261.21739,-78.07057,7553.775,0,0,0,0,0
1.08,5.5781507,-1.1611336,-91.572731,5.3103677,-2.9297719,-125.29291,-1.4086251,1.5314082,-1.4101904,2.856008e-17,0.092745047,-0.043515135,0.0086556063,-5.6458322e-19,-0.0020128409,0.88563264,0.0092531453,-5.712016e-19,-0.0021757568,1,0,0,-0.0038212409,-0.00045044456,0.36885736,125.39024,91.572731,79.60236,7548.2167,1.4835299,0,0,nan,nan,9545.7853,-411.39668,-2.8166193,41.755324,-7.08449e-18,45.750497,14.042688,7548.2167,0,0,0,0,0
1.12,5.791016,-1.2811526,-96.645052,5.322763,-3.0830814,-128.48187,-1.5047269,1.5301629,-1.5063691,2.8922041e-17,0.087899508,-0.038735975,0.0090125165,-5.7650717e-19,-0.0020418005,0.89444256,0.0089490874,-5.7844082e-19,-0.0019367988,1,0,0,-0.00010691528,0.0010069807,0.37827049,128.58278,96.645052,79.40204,7542.6583,1.4835299,0,0,nan,nan,10033.165,-431.0309,-41.57018,-59.640899,-7.4224242e-18,-159.39727,93.753477,7542.6583,0,0,0,0,0
1.16,6.0032163,-1.4077504,-101.84485,5.2764155,-3.2587244,-131.66644,-1.5820897,1.5288909,-1.5837978,2.9143826e-17,0.066582096,-0.027780445,0.0084664588,-5.8181284e-19,-0.001716972,0.90257383,0.0078182621,-5.8287653e-19,-0.0013890222,1,0,0,0.0026389807,0.001987885,0.38767457,131.7717,101.84485,79.20172,7537.1,1.4835299,0,0,nan,nan,10531.721,-450.14976,-69.074974,-137.2272,-7.6171887e-18,-314.0272,149.06854,7537.1,0,0,0,0,0
