alpha_rad,mach,CN,CA,CM,CMQ,CNR,CLP,CNB,CYB
-2.705260,0.2000,-48.568000,19.292000,-31.901300,-0.072240,-8.703000,-3.678000,-10.588260,-24.087146
-2.705260,0.4000,-48.824000,19.347000,-32.614000,-0.076480,-8.841000,-3.678000,-12.267026,-25.061174
-2.705260,0.6000,-49.396000,19.441000,-33.808600,-0.083130,-9.090000,-3.880000,-15.395376,-26.487839
-2.705260,0.8000,-48.760000,19.019000,-33.556900,-0.096640,-9.044000,-3.794000,-20.511889,-27.135281
-2.705260,0.9500,-46.184000,17.990000,-30.420600,-0.119000,-8.389000,-3.561000,-15.911038,-21.583320
-2.705260,1.0500,-62.238000,26.240000,-1.804400,-0.193200,-8.389000,-3.561000,0.000000,-23.393867
-2.705260,1.2000,-56.813000,23.479000,-1.934700,-0.147900,-8.389000,-3.561000,0.000000,-20.231140
-2.705260,1.4000,-55.314000,22.340000,-2.188400,-0.112300,-8.389000,-3.561000,0.000000,-19.629534
-2.705260,1.8000,-53.813000,20.957000,-1.908600,-0.095600,-8.389000,-3.561000,0.000000,-16.529832
-2.705260,2.2000,-49.133000,18.682000,-1.638400,-0.082720,-8.389000,-3.561000,0.000000,-15.830824
-2.705260,2.6000,-43.190000,16.130000,-1.360900,-0.070060,-8.389000,-3.561000,0.000000,-13.235325
-2.705260,3.0000,-38.179000,14.153000,-1.135500,-0.060210,-8.389000,-3.561000,0.000000,-9.912170
-2.705260,3.5000,-33.738000,12.435000,-0.923500,-0.051540,-8.389000,-3.561000,0.000000,-5.473466
-2.705260,4.0000,-30.204000,11.107000,-0.748000,-0.044880,-8.389000,-3.561000,0.000000,-1.038200
-2.705260,4.5000,-27.602000,10.071000,-0.607000,-0.039760,-8.389000,-3.561000,0.000000,2.437935
-2.705260,5.0000,-25.550000,9.259000,-0.490000,-0.035760,-8.389000,-3.561000,0.000000,4.940042
-2.617994,0.0000,-45.365000,22.017000,-33.134700,-0.072240,-7.727000,-4.663000,-17.188734,-21.039010
-2.617994,0.2000,-45.254000,22.204000,-32.930300,-0.072240,-7.748000,-4.663000,-16.065737,-21.434351
-2.617994,0.4000,-45.440000,22.244000,-33.790700,-0.076480,-7.874000,-4.663000,-18.936255,-22.643292
-2.617994,0.6000,-45.916000,22.330000,-35.272500,-0.083130,-8.103000,-4.827000,-30.962639,-27.204036
-2.617994,0.8000,-45.258000,21.685000,-35.756300,-0.096640,-8.098000,-4.839000,-33.317496,-24.631456
-2.617994,0.9500,-43.227000,20.758000,-32.043800,-0.119000,-7.490000,-4.596000,-19.274300,-15.177652
-2.617994,1.0500,-59.206000,29.270000,-1.575800,-0.193200,-7.490000,-4.596000,0.000000,-13.842660
-2.617994,1.2000,-54.424000,25.995000,-1.800000,-0.147900,-7.490000,-4.596000,0.000000,-10.129894
-2.617994,1.4000,-53.287000,24.454000,-2.150500,-0.112300,-7.490000,-4.596000,0.000000,-12.301404
-2.617994,1.8000,-51.719000,22.919000,-1.864800,-0.095600,-7.490000,-4.596000,0.000000,-15.406835
-2.617994,2.2000,-47.190000,20.479000,-1.572200,-0.082720,-7.490000,-4.596000,0.000000,-15.349539
-2.617994,2.6000,-41.482000,17.818000,-1.258900,-0.070060,-7.490000,-4.596000,0.000000,-11.338835
-2.617994,3.0000,-36.969000,15.738000,-1.022500,-0.060210,-7.490000,-4.596000,0.000000,-6.365561
-2.617994,3.5000,-32.974000,13.970000,-0.786700,-0.051540,-7.490000,-4.596000,0.000000,-0.854280
-2.617994,4.0000,-30.014000,12.562000,-0.602500,-0.044880,-7.490000,-4.596000,0.000000,3.340917
-2.617994,4.5000,-27.669000,11.446000,-0.448100,-0.039760,-7.490000,-4.596000,0.000000,5.648218
-2.617994,5.0000,-25.811000,10.557000,-0.316500,-0.035760,-7.490000,-4.596000,0.000000,8.353725
-2.530727,0.0000,-41.984000,24.559000,-35.009500,-0.072240,-6.724000,-6.034000,-53.508528,-32.034070
-2.530727,0.2000,-41.823000,24.706000,-34.704900,-0.072240,-6.743000,-6.034000,-53.181943,-32.028341
-2.530727,0.4000,-41.904000,24.667000,-35.919200,-0.076480,-6.862000,-6.034000,-55.387830,-31.856453
-2.530727,0.6000,-41.921000,24.228000,-39.212800,-0.083130,-7.129000,-5.748000,-57.467667,-30.045907
-2.530727,0.8000,-41.763000,23.920000,-39.371700,-0.096640,-7.107000,-6.007000,-40.897727,-19.944661
-2.530727,0.9500,-40.618000,23.604000,-33.784300,-0.119000,-6.509000,-5.690000,-20.500430,-8.903764
-2.530727,1.0500,-57.184000,31.797000,-1.290500,-0.193200,-6.509000,-5.690000,0.000000,-6.594744
-2.530727,1.2000,-53.196000,28.015000,-1.613800,-0.147900,-6.509000,-5.690000,0.000000,-5.219073
-2.530727,1.4000,-51.875000,26.034000,-2.036700,-0.112300,-6.509000,-5.690000,0.000000,-12.278486
-2.530727,1.8000,-49.939000,24.463000,-1.731400,-0.095600,-6.509000,-5.690000,0.000000,-15.618829
-2.530727,2.2000,-45.301000,22.034000,-1.404100,-0.082720,-6.509000,-5.690000,0.000000,-14.238001
-2.530727,2.6000,-40.174000,19.305000,-1.089000,-0.070060,-6.509000,-5.690000,0.000000,-8.915223
-2.530727,3.0000,-36.117000,17.236000,-0.831700,-0.060210,-6.509000,-5.690000,0.000000,-2.826401
-2.530727,3.5000,-32.791000,15.382000,-0.598800,-0.051540,-6.509000,-5.690000,0.000000,1.830600
-2.530727,4.0000,-30.133000,13.891000,-0.401600,-0.044880,-6.509000,-5.690000,0.000000,4.580798
-2.530727,4.5000,-28.062000,12.677000,-0.235700,-0.039760,-6.509000,-5.690000,0.000000,7.626068
-2.530727,5.0000,-26.616000,11.725000,-0.071900,-0.035760,-6.509000,-5.690000,0.000000,10.032491
-2.443461,0.0000,-37.301000,25.094000,-42.473500,-0.072240,-5.838000,-7.258000,-94.709924,-37.654786
-2.443461,0.2000,-37.164000,25.256000,-42.212000,-0.072240,-5.854000,-7.258000,-91.558656,-36.812538
-2.443461,0.4000,-37.374000,25.333000,-43.457600,-0.076480,-5.957000,-7.258000,-86.115557,-34.119637
-2.443461,0.6000,-38.067000,25.706000,-45.301200,-0.083130,-6.133000,-7.137000,-66.749583,-24.058498
-2.443461,0.8000,-38.650000,26.366000,-42.894600,-0.096640,-6.026000,-7.259000,-38.966860,-12.817066
-2.443461,0.9500,-38.164000,26.487000,-35.622000,-0.119000,-5.489000,-6.783000,-23.640239,-5.074114
-2.443461,1.0500,-56.151000,33.827000,-0.994800,-0.193200,-5.489000,-6.783000,0.000000,-4.372814
-2.443461,1.2000,-52.502000,29.559000,-1.404200,-0.147900,-5.489000,-6.783000,0.000000,-7.448451
-2.443461,1.4000,-50.589000,27.190000,-1.854700,-0.112300,-5.489000,-6.783000,0.000000,-14.220812
-2.443461,1.8000,-48.246000,25.770000,-1.518300,-0.095600,-5.489000,-6.783000,0.000000,-16.730368
-2.443461,2.2000,-43.850000,23.384000,-1.191200,-0.082720,-5.489000,-6.783000,0.000000,-12.484750
-2.443461,2.6000,-39.109000,20.720000,-0.856200,-0.070060,-5.489000,-6.783000,0.000000,-6.514530
-2.443461,3.0000,-35.844000,18.565000,-0.613200,-0.060210,-5.489000,-6.783000,0.000000,-1.468491
-2.443461,3.5000,-32.864000,16.623000,-0.370600,-0.051540,-5.489000,-6.783000,0.000000,1.433540
-2.443461,4.0000,-30.552000,15.044000,-0.150600,-0.044880,-5.489000,-6.783000,0.000000,4.769301
-2.443461,4.5000,-28.952000,13.750000,0.051800,-0.039760,-5.489000,-6.783000,0.000000,7.282294
-2.443461,5.0000,-27.723000,12.673000,0.236700,-0.035760,-5.489000,-6.783000,0.000000,7.952654
-2.356194,0.0000,-33.384000,25.879000,-51.543200,-0.072240,-4.894000,-8.011000,-113.159165,-26.499298
-2.356194,0.2000,-33.280000,26.124000,-50.688400,-0.072240,-4.896000,-8.011000,-102.674037,-25.038256
-2.356194,0.4000,-33.624000,26.507000,-50.952000,-0.076480,-4.955000,-8.011000,-85.599895,-20.769720
-2.356194,0.6000,-34.687000,27.590000,-50.864700,-0.083130,-5.046000,-8.745000,-60.733526,-13.722339
-2.356194,0.8000,-35.711000,28.909000,-46.172500,-0.096640,-4.915000,-8.475000,-36.159366,-6.944248
-2.356194,0.9500,-35.681000,29.267000,-37.910200,-0.119000,-4.477000,-7.852000,-28.802588,-2.611542
-2.356194,1.0500,-55.615000,35.342000,-0.719000,-0.193200,-4.477000,-7.852000,-8.090164,24.574160
