time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,aircraft_aero_fx,aircraft_aero_fy,aircraft_aero_fz,aircraft_aero_mx,aircraft_aero_my,aircraft_aero_mz,turbojet_fx,turbojet_fy,turbojet_fz,turbojet_mx,turbojet_my,turbojet_mz
2,118.15441,1.0967702,-899.20372,58.30244,1.2258993,0.65265385,0.083803393,0.01110063,-0.055565936,-0.0045152353,0.011622746,0.01128735,-0.026560328,0.0016898227,0.0052690825,0.072825258,-0.026638275,0.0013486396,0.0056436748,0.097845731,0,0,0.021532798,0.0098592171,0.17330054,58.372049,899.20372,1200,205.53869,nan,nan,0,900,60,1912.6917,-957.23249,-89.528382,-12235.408,-53.174864,-11.003851,38.959659,205.53869,0,0,0,0,0
2.1,123.98136,1.2232476,-899.14016,58.233218,1.3076881,0.61638787,0.083178844,0.012130617,-0.05428256,-0.0083626624,0.011016575,0.012574939,-0.026709466,0.00097511607,0.0059990042,0.077906581,-0.026767431,0.00067132421,0.0062874697,0.10317703,0,0,0.021954311,0.0099423697,0.17308259,58.29868,899.14016,1200,219.88095,nan,nan,0,900,60,1907.8984,-950.81832,-86.095267,-12259.745,-45.145757,-10.852648,29.378238,219.88095,0,0,0,0,0
2.2,129.80142,1.3578833,-899.08031,58.164533,1.3889744,0.57856139,0.08220132,0.013092347,-0.052892934,-0.011602907,0.010421299,0.013526702,-0.02681882,0.00034388659,0.0065502045,0.083037345,-0.02686068,7.7616438e-05,0.0067633511,0.10854782,0,0,0.022292204,0.0098984087,0.17286664,58.225983,899.08031,1200,234.36281,nan,nan,0,900,60,1903.1543,-945.21689,-82.170628,-12273.208,-37.606789,-10.465836,21.063456,234.36281,0,0,0,0,0
2.3,135.61463,1.5006089,-899.02429,58.096384,1.4693845,0.53996407,0.08092931,0.013990659,-0.051428371,-0.014277753,0.0098474646,0.014188779,-0.026896389,-0.00020491612,0.0069462105,0.088215557,-0.026925494,-0.00043463179,0.0070943897,0.11395623,0,0,0.022561778,0.0097547804,0.17265276,58.15398,899.02429,1200,248.97864,nan,nan,0,900,60,1898.4608,-940.29267,-77.954472,-12277.893,-30.655992,-9.9409105,13.946948,248.97864,0,0,0,0,0
2.4,141.42105,1.6513213,-898.97213,58.028782,1.5486038,0.50122703,0.079416778,0.014830749,-0.049915551,-0.016435093,0.0093013052,0.014604436,-0.026949035,-0.00067442651,0.0072093006,0.093439221,-0.026968241,-0.0008693565,0.007302218,0.11940014,0,0,0.02277634,0.0095351509,0.17244104,58.082701,898.97213,1200,263.7228,nan,nan,0,900,60,1893.8194,-935.92425,-73.606389,-12275.613,-24.34987,-9.3457307,7.9421524,263.7228,0,0,0,0,0
2.5,147.22074,1.8098888,-898.92384,57.961747,1.6263741,0.46284596,0.077712721,0.015617805,-0.0483769,-0.018126016,0.0087860478,0.014813507,-0.026982564,-0.0010692644,0.0073601622,0.098706303,-0.026994272,-0.0012317329,0.0074067537,0.12487726,0,0,0.022947271,0.0092596468,0.17223156,58.012175,898.92384,1200,278.58952,nan,nan,0,900,60,1889.2321,-932.00569,-69.25092,-12267.91,-18.712277,-8.7261074,2.9514748,278.58952,0,0,0,0,0
2.6,153.01375,1.9761561,-898.87935,57.895308,1.7024883,0.42520229,0.075860974,0.016356779,-0.046830983,-0.019402547,0.0083028727,0.014852089,-0.027001827,-0.001395041,0.0074176822,0.10401471,-0.02700803,-0.0015277263,0.0074260444,0.13038518,0,0,0.023084174,0.0089451438,0.17202443,57.942437,898.87935,1200,293.5729,nan,nan,0,900,60,1884.7008,-928.44643,-64.982649,-12256.083,-13.741971,-8.1118428,-1.127973,293.5729,0,0,0,0,0
2.7,158.80015,2.1499497,-898.83858,57.829496,1.7767858,0.38858237,0.07390022,0.017052258,-0.045292917,-0.020315918,0.0078516089,0.014752416,-0.027010824,-0.0016579587,0.0073988442,0.10936227,-0.027013156,-0.0017637309,0.0073762078,0.13592142,0,0,0.023195048,0.0086055816,0.17181974,57.87352,898.83858,1200,308.66682,nan,nan,0,900,60,1880.2276,-925.17039,-60.870936,-12241.208,-9.4189768,-7.5213968,-4.399926,308.66682,0,0,0,0,0
2.8,164.58,2.331082,-898.80141,57.764349,1.8491473,0.35319417,0.071864132,0.0177084,-0.043774774,-0.020915313,0.0074312244,0.014542889,-0.027012814,-0.0018644914,0.0073187093,0.11474677,-0.027012596,-0.0019462853,0.0072714446,0.14148344,0,0,0.023286482,0.0082522879,0.17161759,57.805457,898.80141,1200,323.865,nan,nan,0,900,60,1875.8146,-922.11472,-56.964208,-12224.169,-5.7098676,-6.965392,-6.9656335,323.865,0,0,0,0,0
2.9,170.35337,2.519355,-898.76772,57.699903,1.919489,0.31918178,0.069781632,0.018328921,-0.042285976,-0.021246967,0.0070401675,0.014248213,-0.027010411,-0.0020211374,0.0071904586,0.12016593,-0.027008696,-0.002081854,0.0071241066,0.14706871,0,0,0.023363841,0.0078942994,0.17141809,57.738282,898.76772,1200,339.16099,nan,nan,0,900,60,1871.4635,-919.22822,-53.2938,-12205.684,-2.5720968,-6.4491782,-8.9214677,339.16099,0,0,0,0,0
