time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_aero_fx,rocket_aero_fy,rocket_aero_fz,rocket_aero_mx,rocket_aero_my,rocket_aero_mz,solid_motor_fx,solid_motor_fy,solid_motor_fz,solid_motor_mx,solid_motor_my,solid_motor_mz
0.6,2.0913113,0.069931274,-47.087487,5.6264073,0.29252601,-119.77529,-0.010536586,1.5362716,-0.010542929,-8.4661166e-24,0.00068469362,-0.00092187182,7.9895946e-05,1.9109559e-24,-4.3570825e-05,0.7007316,8.830686e-05,1.170376e-24,-4.8078282e-05,1,-0.00063798971,0.00034797083,-0.037641624,-0.022252759,0.35225467,119.80647,47.087487,520,91500,1.5358897,nan,0,nan,nan,8751.9001,-514.61173,458.10607,774.75061,3.4598261e-21,145.44123,-80.763474,91499.976,-31.839324,-58.376054,0,-145.94014,79.598309
0.63,2.263222,0.079027065,-50.75003,5.8493087,0.3154907,-124.72319,-0.011353256,1.5362917,-0.011360085,3.1933538e-23,0.0006739817,-0.00094452331,8.9185301e-05,-1.7557998e-24,-4.8537251e-05,0.71819354,9.8078952e-05,-4.0800721e-24,-5.3282239e-05,1,-0.00065481981,0.00035642174,-0.035710341,-0.021142238,0.36681117,124.75217,50.75003,520,91450,1.5358897,nan,0,nan,nan,9486.0442,-557.7794,471.76234,796.6402,-3.9783868e-21,149.13094,-82.581914,91449.975,-32.59476,-59.883267,0,-149.70817,81.4869
0.66,2.4418318,0.088820051,-54.560933,6.0730667,0.33903891,-129.66564,-0.012189879,1.5363114,-0.012197207,7.4070808e-23,0.00066173219,-0.0009657607,9.8979235e-05,-4.991941e-24,-5.3749471e-05,0.7346366,0.00010833284,-8.7723453e-24,-5.8716406e-05,1,-0.0006705142,0.00036416712,-0.033918591,-0.020110113,0.38135508,129.69296,54.560933,520,91400,1.5358897,nan,0,nan,nan,10248.556,-602.61508,484.81107,817.47488,-1.1748237e-20,152.56072,-84.236124,91399.973,-33.284866,-61.284993,0,-153.21248,83.212165
0.69,2.6271657,0.099327255,-58.520033,6.2976253,0.36313602,-134.60254,-0.013045212,1.5363307,-0.013053049,4.6313839e-23,0.00064804809,-0.00098557693,0.00010925136,-6.5764323e-24,-5.9189644e-05,0.75012023,0.00011903894,-5.0982251e-24,-6.4361012e-05,1,-0.00068502692,0.00037118553,-0.032251298,-0.01914786,0.39588605,134.62869,58.520033,520,91350,1.5358897,nan,0,nan,nan,11039.258,-649.10836,497.23828,837.24166,-1.5345895e-20,155.72283,-85.722425,91349.972,-33.907789,-62.577204,0,-156.44301,84.769472
0.72,2.8192469,0.11056465,-62.627161,6.5229281,0.38774698,-139.53381,-0.013918003,1.5363495,-0.013926358,9.3868466e-24,0.00063305021,-0.0010039735,0.00011997218,-3.7102881e-24,-6.4837907e-05,0.76470041,0.00013016465,-9.6291413e-25,-7.019421e-05,1,-0.00069832519,0.00037746128,-0.030695548,-0.018248188,0.41040372,139.55924,62.627161,520,91300,1.5358897,nan,0,nan,nan,11857.969,-697.24856,509.03132,855.92977,-8.8577971e-21,158.60975,-87.037466,91299.971,-34.462205,-63.757085,0,-159.39271,86.155513
0.75,3.018097,0.12254717,-66.882147,6.7489184,0.41283636,-144.45934,-0.014806992,1.5363678,-0.014815874,8.8551583e-24,0.00061684069,-0.0010209488,0.00013110818,-2.2204267e-24,-7.0672055e-05,0.77842985,0.00014167222,-8.4854909e-25,-7.6191471e-05,1,-0.00071038178,0.00038298137,-0.029240214,-0.017404822,0.42490778,144.48445,66.882147,520,91250,1.5358897,nan,0,nan,nan,12704.503,-747.02477,520.1789,873.53067,-5.757964e-21,161.21468,-88.178421,91249.97,-34.94704,-64.822332,0,-162.05583,87.367601
0.78,3.2237357,0.13528865,-71.284818,6.9755396,0.43836841,-149.37905,-0.015710912,1.5363856,-0.01572033,-1.9837182e-23,0.00059950735,-0.001036501,0.00014262107,6.7219569e-25,-7.6667384e-05,0.7913582,0.0001535189,1.7797728e-24,-8.2325809e-05,1,-0.00072116995,0.00038773413,-0.027875657,-0.016612334,0.43939791,149.4042,71.284818,520,91200,1.5358897,nan,0,nan,nan,13578.67,-798.42582,530.67108,890.03802,2.3190506e-21,163.53168,-89.143027,91199.969,-35.361342,-65.770694,0,-164.42673,88.403356
0.81,3.4361231,0.14880188,-75.834999,7.1819801,0.4643073,-154.29341,-0.016603392,1.5363508,-0.016613338,-1.2653217e-23,-0.017797091,-0.0010506856,0.0048714908,1.4048989e-24,-8.2797552e-05,0.80353219,0.013353901,1.0651749e-24,-8.8573181e-05,1,-0.02198493,0.00039171248,-0.026780037,-0.015866045,0.45387498,154.31877,75.834999,520,91150,1.4660766,nan,0,nan,nan,14480.351,-851.44464,540.50337,903.77317,4.3363791e-21,169.21201,-89.929593,91127.966,-35.695964,-2003.7649,0,-5009.4124,89.239909
0.84,3.6527984,0.16309859,-80.532564,7.2654588,0.49061982,-159.20395,-0.016483302,1.5341759,-0.016493163,-8.2277181e-21,-0.13497795,-0.001063988,0.0064104767,2.094281e-22,-8.9057249e-05,0.81499585,0.0032867472,6.5119225e-22,-9.4947295e-05,1,-0.028036277,0.00039500652,-0.028666714,-0.015162862,0.46834087,159.22876,80.532564,520,91100,1.4660766,nan,0,nan,nan,15409.495,-906.07832,549.71101,1027.3547,8.6662335e-19,1702.6852,-90.537466,91064.191,-35.970951,-2553.7703,0,-6384.4257,89.927378
0.87,3.8727463,0.17818947,-85.377346,7.4325175,0.51726879,-164.10676,-0.015309901,1.5292724,-0.015318866,3.32951e-21,-0.1765506,-0.0010751169,0.0020206837,5.9622218e-24,-9.5386065e-05,0.82579061,-0.0015090361,-2.4823197e-22,-0.00010129901,1,-0.008976345,0.00039748225,-0.032789853,-0.01449913,0.48278864,164.13179,85.377346,520,91050,1.4660766,nan,0,nan,nan,16365.47,-962.28961,558.27805,1258.2444,-7.847844e-20,2619.9975,-90.983606,91046.325,-36.1893,-817.28523,0,-2043.2131,90.473249
