time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,aircraft_aero_fx,aircraft_aero_fy,aircraft_aero_fz,aircraft_aero_mx,aircraft_aero_my,aircraft_aero_mz,turbojet_fx,turbojet_fy,turbojet_fz,turbojet_mx,turbojet_my,turbojet_mz
2.4,140.01714,0,-805.71925,56.702938,0,-3.4084329,0,0.086029867,0,0,0.010923454,0,-0.029138977,0,0,0.15391728,-0.029221652,0,0,0.19817194,0,0,0.025991769,0,0.16846782,56.805287,805.71925,1200,437.19992,nan,nan,0,1000,60,1828.0398,-872.35566,0,-12247.205,0,-0.68199991,0,437.19992,0,0,0,0,0
2.5,145.68157,0,-806.06166,56.579908,0,-3.4413286,0,0.087119614,0,0,0.010859213,0,-0.029320645,0,0,0.16289187,-0.029401447,0,0,0.20746521,0,0,0.026372,0,0.16811017,56.684466,806.06166,1200,462.68128,nan,nan,0,1000,60,1820.211,-864.84284,0,-12242.203,0,-1.6705859,0,462.68128,0,0,0,0,0
2.6,151.33379,0,-806.40734,56.458556,0,-3.4739129,0,0.088200555,0,0,0.010747103,0,-0.029497468,0,0,0.17192806,-0.02957587,0,0,0.21679428,0,0,0.026747712,0,0.16775751,56.56533,806.40734,1200,488.3363,nan,nan,0,1000,60,1812.5066,-857.43811,0,-12237.03,0,-2.4218994,0,488.3363,0,0,0,0,0
2.7,156.97394,0,-806.75627,56.338899,0,-3.5061596,0,0.089268498,0,0,0.010599366,0,-0.029668658,0,0,0.18102091,-0.029744444,0,0,0.22615668,0,0,0.027115284,0,0.1674099,56.447894,806.75627,1200,514.15091,nan,nan,0,1000,60,1804.9268,-850.17804,0,-12231.264,0,-2.9659569,0,514.15091,0,0,0,0,0
2.8,162.60222,0,-807.1084,56.220959,0,-3.5380163,0,0.090320393,0,0,0.010426506,0,-0.029834002,0,0,0.19016591,-0.029907169,0,0,0.2355499,0,0,0.027472713,0,0.16706738,56.332174,807.1084,1200,540.11232,nan,nan,0,1000,60,1797.4722,-843.08333,0,-12224.689,0,-3.3357149,0,540.11232,0,0,0,0,0
2.9,168.21878,0,-807.4637,56.104758,0,-3.5694189,0,0.091354158,0,0,0.010237214,0,-0.029993669,0,0,0.19935894,-0.030064356,0,0,0.24497135,0,0,0.027819177,0,0.16673,56.218187,807.4637,1200,566.20874,nan,nan,0,1000,60,1790.1431,-836.16293,0,-12217.237,0,-3.5639821,0,566.20874,0,0,0,0,0
3,173.8238,0,-807.82211,55.990317,0,-3.6003019,0,0.092368491,0,0,0.010038431,0,-0.030148065,0,0,0.20859613,-0.030216487,0,0,0.25441843,0,0,0.028154673,0,0.16639782,56.105951,807.82211,1200,592.42919,nan,nan,0,1000,60,1782.94,-829.41755,0,-12208.942,0,-3.6814016,0,592.42919,0,0,0,0,0
3.1,179.41747,0,-808.18359,55.87766,0,-3.6306054,0,0.093362711,0,0,0.0098355052,0,-0.030297718,0,0,0.21787385,-0.030364126,0,0,0.26388849,0,0,0.028479728,0,0.16607088,55.995483,808.18359,1200,618.76332,nan,nan,0,1000,60,1775.8632,-822.84244,0,-12199.901,0,-3.7152637,0,618.76332,0,0,0,0,0
3.2,184.99995,0,-808.54806,55.766808,0,-3.660279,0,0.094336602,0,0,0.0096323876,0,-0.030443194,0,0,0.22718864,-0.030507843,0,0,0.27337888,0,0,0.028795173,0,0.16574925,55.886801,808.54806,1200,645.20129,nan,nan,0,1000,60,1768.9133,-816.42963,0,-12190.245,0,-3.6889369,0,645.20129,0,0,0,0,0
3.3,190.57144,0,-808.91547,55.657784,0,-3.6892836,0,0.095290285,0,0,0.0094318551,0,-0.030585044,0,0,0.23653718,-0.030648174,0,0,0.28288695,0,0,0.029101977,0,0.16543297,55.779922,808.91547,1200,671.73368,nan,nan,0,1000,60,1762.0907,-810.16963,0,-12180.121,0,-3.6217406,0,671.73368,0,0,0,0,0
